# t=1 rs=1.23195 s=0.49278 alpha=0.3524
# r V-V_min rho p u
0.01 6.99415e-11 1.27089e-07 0.0445071 0.00210526
0.02 6.99415e-11 1.28098e-06 0.0445071 0.00421053
0.03 1.04912e-10 4.94894e-06 0.0445071 0.00631579
0.04 9.09239e-10 1.29114e-05 0.0445071 0.00842105
0.05 3.05994e-09 2.71649e-05 0.0445071 0.0105263
0.06 8.07824e-09 4.98822e-05 0.0445071 0.0126316
0.07 1.82984e-08 8.33876e-05 0.0445071 0.0147368
0.08 3.72788e-08 0.000130139 0.0445071 0.0168421
0.09 6.97928e-08 0.000192715 0.0445071 0.0189474
0.1 1.2231e-07 0.000273805 0.0445071 0.0210526
0.11 2.03399e-07 0.000376198 0.0445071 0.0231579
0.12 3.23444e-07 0.000502781 0.0445071 0.0252632
0.13 4.95819e-07 0.000656527 0.0445071 0.0273684
0.14 7.3616e-07 0.000840494 0.0445071 0.0294737
0.15 1.06361e-06 0.00105782 0.0445071 0.0315789
0.16 1.50059e-06 0.00131172 0.0445071 0.0336842
0.17 2.0734e-06 0.00160548 0.0445071 0.0357895
0.18 2.81241e-06 0.00194245 0.0445071 0.0378947
0.19 3.75253e-06 0.00232606 0.0445071 0.04
0.2 4.93323e-06 0.00275978 0.0445071 0.0421053
0.21 6.39934e-06 0.00324718 0.0445071 0.0442105
0.22 8.20143e-06 0.00379184 0.0445071 0.0463158
0.23 1.03956e-05 0.00439745 0.0445071 0.0484211
0.24 1.30445e-05 0.00506772 0.0445071 0.0505263
0.25 1.62174e-05 0.00580642 0.0445071 0.0526316
0.26 1.99906e-05 0.00661738 0.0445071 0.0547368
0.27 2.44479e-05 0.00750448 0.0445071 0.0568421
0.28 2.96809e-05 0.00847165 0.0445071 0.0589474
0.29 3.57896e-05 0.00952287 0.0445071 0.0610526
0.3 4.28827e-05 0.0106622 0.0445071 0.0631579
0.31 5.10776e-05 0.0118936 0.0445071 0.0652632
0.32 6.05018e-05 0.0132213 0.0445071 0.0673684
0.33 7.12924e-05 0.0146494 0.0445071 0.0694737
0.34 8.3597e-05 0.0161822 0.0445071 0.0715789
0.35 9.75738e-05 0.0178239 0.0445071 0.0736842
0.36 0.000113392 0.0195787 0.0445071 0.0757895
0.37 0.000131234 0.021451 0.0445071 0.0778947
0.38 0.000151293 0.0234452 0.0445071 0.08
0.39 0.000173774 0.0255656 0.0445071 0.0821053
0.4 0.000198897 0.0278169 0.0445071 0.0842105
0.41 0.000226894 0.0302826 0.0446657 0.0864088
0.42 0.000258011 0.0328272 0.0446875 0.0885294
0.43 0.000292511 0.0355198 0.0447117 0.0906521
0.44 0.000330668 0.0383657 0.0447385 0.0927771
0.45 0.000372775 0.0413702 0.044768 0.0949046
0.46 0.000419137 0.0445387 0.0448006 0.0970349
0.47 0.000470079 0.0478771 0.0448365 0.0991683
0.48 0.00052594 0.0513909 0.0448759 0.101305
0.49 0.00058708 0.0550862 0.044919 0.103446
0.5 0.000653871 0.0589692 0.0449662 0.10559
0.51 0.00072671 0.0630463 0.0450177 0.107739
0.52 0.000806007 0.0673239 0.0450739 0.109893
0.53 0.000892195 0.0718089 0.0451351 0.112052
0.54 0.000985724 0.0765084 0.0452016 0.114217
0.55 0.00108707 0.0814298 0.0452738 0.116387
0.56 0.00119672 0.0865806 0.0453522 0.118565
0.57 0.00131518 0.091969 0.045437 0.12075
0.58 0.00144301 0.0976032 0.0455288 0.122942
0.59 0.00158074 0.103492 0.0456279 0.125143
0.6 0.00172896 0.109645 0.0457349 0.127353
0.61 0.00188828 0.116071 0.0458504 0.129573
0.62 0.00205932 0.12278 0.0459747 0.131803
0.63 0.00224272 0.129784 0.0461085 0.134044
0.64 0.00243917 0.137094 0.0462525 0.136298
0.65 0.00264936 0.144721 0.0464071 0.138564
0.66 0.00287401 0.152678 0.0465732 0.140844
0.67 0.00311386 0.160979 0.0467514 0.143139
0.68 0.0033697 0.169637 0.0469426 0.145449
0.69 0.00364232 0.178668 0.0471474 0.147776
0.7 0.00393254 0.188089 0.0473667 0.150121
0.71 0.00424121 0.197916 0.0476015 0.152485
0.72 0.00456919 0.208167 0.0478528 0.154869
0.73 0.0049174 0.218863 0.0481214 0.157274
0.74 0.00528673 0.230024 0.0484087 0.159702
0.75 0.00567815 0.241674 0.0487156 0.162153
0.76 0.00609261 0.253835 0.0490435 0.16463
0.77 0.0065311 0.266535 0.0493937 0.167134
0.78 0.00699462 0.2798 0.0497677 0.169666
0.79 0.00748421 0.293662 0.0501668 0.172228
0.8 0.0080009 0.308153 0.0505928 0.174822
0.81 0.00854575 0.323307 0.0510474 0.177448
0.82 0.00911982 0.339162 0.0515324 0.18011
0.83 0.00972419 0.35576 0.0520499 0.182808
0.84 0.0103599 0.373143 0.052602 0.185544
0.85 0.0110282 0.391361 0.053191 0.188321
0.86 0.0117299 0.410464 0.0538194 0.19114
0.87 0.0124663 0.430509 0.0544899 0.194004
0.88 0.0132383 0.451557 0.0552053 0.196913
0.89 0.014047 0.473673 0.0559688 0.19987
0.9 0.0148934 0.496929 0.0567836 0.202878
0.91 0.0157785 0.521404 0.0576535 0.205937
0.92 0.0167032 0.547181 0.0585822 0.209051
0.93 0.0176683 0.574354 0.059574 0.212221
0.94 0.0186747 0.603024 0.0606335 0.215449
