# t=1 rs=1.23195 s=0.49278 alpha=0.3524
# r V rho p u
0.00811722 1.07049e-09 3.94414e-08 0.265761 0.00619472
0.0162344 1.07049e-09 3.97545e-07 0.265761 0.0123894
0.0243517 1.60574e-09 1.53588e-06 0.265761 0.0185842
0.0324689 1.39164e-08 4.007e-06 0.265761 0.0247789
0.0405861 4.68341e-08 8.43049e-06 0.265761 0.0309736
0.0487033 1.23642e-07 1.54807e-05 0.265761 0.0371683
0.0568205 2.80068e-07 2.58789e-05 0.265761 0.043363
0.0649377 5.70573e-07 4.0388e-05 0.265761 0.0495577
0.073055 1.06822e-06 5.98082e-05 0.265761 0.0557525
0.0811722 1.87202e-06 8.4974e-05 0.265761 0.0619472
0.0892894 3.11313e-06 0.000116751 0.265761 0.0681419
0.0974066 4.9505e-06 0.000156035 0.265761 0.0743366
0.105524 7.58879e-06 0.00020375 0.265761 0.0805313
0.113641 1.12673e-05 0.000260843 0.265761 0.0867261
0.121758 1.62792e-05 0.000328289 0.265761 0.0929208
0.129875 2.29674e-05 0.000407086 0.265761 0.0991155
0.137993 3.17346e-05 0.000498252 0.265761 0.10531
0.14611 4.30455e-05 0.000602829 0.265761 0.111505
0.154227 5.74346e-05 0.000721879 0.265761 0.1177
0.162344 7.55059e-05 0.000856484 0.265761 0.123894
0.170462 9.79455e-05 0.00100774 0.265761 0.130089
0.178579 0.000125527 0.00117678 0.265761 0.136284
0.186696 0.000159111 0.00136473 0.265761 0.142479
0.194813 0.000199653 0.00157274 0.265761 0.148673
0.20293 0.000248216 0.00180199 0.265761 0.154868
0.211048 0.000305967 0.00205367 0.265761 0.161063
0.219165 0.000374189 0.00232898 0.265761 0.167257
0.227282 0.000454282 0.00262913 0.265761 0.173452
0.235399 0.00054778 0.00295537 0.265761 0.179647
0.243517 0.000656343 0.00330895 0.265761 0.185842
0.251634 0.000781771 0.00369112 0.265761 0.192036
0.259751 0.000926014 0.00410317 0.265761 0.198231
0.267868 0.00109117 0.00454638 0.265761 0.204426
0.275985 0.0012795 0.00502206 0.265761 0.21062
0.284103 0.00149342 0.00553154 0.265761 0.216815
0.29222 0.00173553 0.00607614 0.265761 0.22301
0.300337 0.00200861 0.0066572 0.265761 0.229205
0.308454 0.00231562 0.00727609 0.265761 0.235399
0.316571 0.00265971 0.00793417 0.265761 0.241594
0.324689 0.00304422 0.00863282 0.265761 0.247789
0.332806 0.00347273 0.00939803 0.266708 0.254257
0.340923 0.00394901 0.0101877 0.266838 0.260497
0.34904 0.00447704 0.0110234 0.266983 0.266743
0.357158 0.00506106 0.0119066 0.267143 0.272996
0.365275 0.00570552 0.012839 0.267319 0.279256
0.373392 0.00641512 0.0138224 0.267514 0.285524
0.381509 0.00719482 0.0148584 0.267728 0.291802
0.389626 0.00804981 0.0159489 0.267963 0.298089
0.397744 0.00898558 0.0170957 0.268221 0.304388
0.405861 0.0100079 0.0183008 0.268503 0.310698
0.413978 0.0111227 0.0195661 0.26881 0.317021
0.422095 0.0123364 0.0208936 0.269146 0.323359
0.430213 0.0136555 0.0222855 0.269511 0.329711
0.43833 0.0150871 0.023744 0.269908 0.336081
0.446447 0.0166382 0.0252713 0.27034 0.342469
0.454564 0.0183164 0.0268699 0.270807 0.348876
0.462681 0.0201296 0.0285421 0.271314 0.355305
0.470799 0.022086 0.0302907 0.271862 0.361756
0.478916 0.0241941 0.0321182 0.272454 0.368233
0.487033 0.0264627 0.0340277 0.273093 0.374736
0.49515 0.0289012 0.036022 0.273782 0.381267
0.503267 0.031519 0.0381043 0.274525 0.387829
0.511385 0.0343261 0.0402779 0.275324 0.394425
0.519502 0.0373328 0.0425463 0.276183 0.401055
0.527619 0.0405499 0.0449133 0.277107 0.407724
0.535736 0.0439882 0.0473828 0.278099 0.414433
0.543854 0.0476594 0.0499589 0.279163 0.421185
0.551971 0.0515752 0.052646 0.280304 0.427983
0.560088 0.0557478 0.0554488 0.281527 0.434831
0.568205 0.0601897 0.0583724 0.282837 0.44173
0.576322 0.064914 0.0614221 0.284239 0.448686
0.58444 0.0699341 0.0646036 0.285739 0.4557
0.592557 0.0752635 0.0679231 0.287343 0.462777
0.600674 0.0809164 0.0713869 0.289058 0.469921
0.608791 0.0869072 0.0750022 0.290891 0.477135
0.616909 0.0932508 0.0787764 0.292849 0.484423
0.625026 0.0999621 0.0827177 0.29494 0.491791
0.633143 0.107057 0.0868346 0.297173 0.499242
0.64126 0.11455 0.0911366 0.299557 0.50678
0.649377 0.122458 0.0956336 0.3021 0.514412
0.657495 0.130797 0.100337 0.304815 0.52214
0.665612 0.139584 0.105257 0.307711 0.529972
0.673729 0.148834 0.110408 0.310801 0.537911
0.681846 0.158565 0.115803 0.314098 0.545963
0.689963 0.168792 0.121457 0.317615 0.554134
0.698081 0.179533 0.127386 0.321367 0.562429
0.706198 0.190803 0.133606 0.325371 0.570854
0.714315 0.202619 0.140138 0.329642 0.579414
0.722432 0.214997 0.147002 0.334201 0.588117
0.73055 0.227952 0.154219 0.339067 0.596966
0.738667 0.241499 0.161815 0.344261 0.605969
0.746784 0.255651 0.169815 0.349807 0.615131
0.754901 0.270424 0.178248 0.355729 0.624459
0.763018 0.285827 0.187145 0.362056 0.633957
0.771136 0.301874 0.196541 0.368815 0.643632
0.779253 0.318574 0.206472 0.37604 0.653489
0.78737 0.335935 0.21698 0.383765 0.663534
0.795487 0.353965 0.228107 0.392026 0.673771
0.803605 0.372668 0.239904 0.400865 0.684206
0.811722 0.392048 0.252422 0.410324 0.694843
0.819839 0.412105 0.26572 0.420453 0.705686
0.827956 0.432838 0.27986 0.431301 0.716739
0.836073 0.454244 0.294913 0.442926 0.728004
0.844191 0.476316 0.310954 0.455388 0.739485
0.852308 0.499044 0.328066 0.468754 0.751184
0.860425 0.522417 0.346341 0.483095 0.763101
0.868542 0.54642 0.365879 0.498489 0.775238
0.87666 0.571036 0.38679 0.515022 0.787594
0.884777 0.596243 0.409196 0.532787 0.800168
0.892894 0.622018 0.433228 0.551885 0.81296
0.901011 0.648336 0.459034 0.572427 0.825967
0.909128 0.675168 0.486774 0.594532 0.839186
0.917246 0.702482 0.516626 0.618334 0.852612
0.925363 0.730246 0.548786 0.643975 0.866242
0.93348 0.758423 0.583468 0.671615 0.88007
